Datetime,Open,High,Low,Close,Volume,OpenInterest
2015-09-23T20:59:48.542,3069.00,3069.00,3069.00,3069.00,4,0
2015-09-23T20:59:48.780,3068.00,3068.00,3068.00,3068.00,5,0
2015-09-23T20:59:49.030,3069.00,3069.00,3069.00,3069.00,25,0
2015-09-23T20:59:49.298,3069.00,3069.00,3069.00,3069.00,9,0
2015-09-23T20:59:49.446,3069.00,3069.00,3069.00,3069.00,1,0
2015-09-23T20:59:49.789,3069.00,3069.00,3069.00,3069.00,1,0
2015-09-23T20:59:50.031,3068.00,3068.00,3068.00,3068.00,201,0
2015-09-23T20:59:50.480,3069.00,3069.00,3069.00,3069.00,8,0
2015-09-23T20:59:50.794,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:51.039,3068.00,3068.00,3068.00,3068.00,17,0
2015-09-23T20:59:51.289,3068.00,3068.00,3068.00,3068.00,7,0
2015-09-23T20:59:51.445,3068.00,3068.00,3068.00,3068.00,5,0
2015-09-23T20:59:52.040,3068.00,3068.00,3068.00,3068.00,3,0
2015-09-23T20:59:52.286,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:52.536,3068.00,3068.00,3068.00,3068.00,29,0
2015-09-23T20:59:53.539,3067.00,3067.00,3067.00,3067.00,1,0
2015-09-23T20:59:54.302,3068.00,3068.00,3068.00,3068.00,25,0
2015-09-23T20:59:55.053,3067.00,3067.00,3067.00,3067.00,2,0
2015-09-23T20:59:55.282,3068.00,3068.00,3068.00,3068.00,66,0
2015-09-23T20:59:56.055,3068.00,3068.00,3068.00,3068.00,26,0
2015-09-23T20:59:56.301,3068.00,3068.00,3068.00,3068.00,7,0
2015-09-23T20:59:56.792,3067.00,3067.00,3067.00,3067.00,10,0
2015-09-23T20:59:57.287,3068.00,3068.00,3068.00,3068.00,7,0
2015-09-23T20:59:57.552,3068.00,3068.00,3068.00,3068.00,5,0
2015-09-23T20:59:57.802,3069.00,3069.00,3069.00,3069.00,16,0
2015-09-23T20:59:58.048,3068.00,3068.00,3068.00,3068.00,8,0
2015-09-23T20:59:58.548,3068.00,3068.00,3068.00,3068.00,1,0
2015-09-23T20:59:59.049,3069.00,3069.00,3069.00,3069.00,230,0
2015-09-23T20:59:59.547,3068.00,3068.00,3068.00,3068.00,19,0
2015-09-23T21:00:00.238,3069.00,3069.00,3069.00,3069.00,1,0
